sentence, part_of_speech
, adjective
, qualificatative adjective
, possessive adjective
, (superlative/comparitive) adjective
, subordinating conjunction
, article determiner
, demonstrative determiner
, exclamative determiner
, indefinte determiner
, numeral determiner
, possessive determiner
, relative determiner
, noun
, demonstrative pronoun
, exclamative pronoun
, indefinite pronoun
, interrogative pronoun
, numeral pronoun
, personal pronoun
, possessive pronoun 
, relative pronoun
, adverb
, negation adverbs
, indicative mood
, subjunctive mood
, imperative mood
, participle mood
, gerund mood
, infinitive mood
, present tense
, imperfect tense
, future tense
, past tense
, conditional tense
, preposition
, interjections
, dates
, numbers
, currency
, percentages
, units







